name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
ORCA,Toronto,Ontario,Canada,National,"ORCA is the ultimate waste management system. Working on site in your facility to ""digest"" all your food waste, ORCA turns it into environmentally safe water that flows straight into the municipal sewage system. With no bags or garbage bins of food waste to dispose of, there's no need to pay for trucks to haul the waste to landfills or remote composting facilities.",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2012,http://www.feedtheorca.com/,https://www.facebook.com/totallygreenORCA,https://twitter.com/orcadigesters,https://www.linkedin.com/company/totally-green,eliut@feedtheorca.com
Organix Recycling,Mokena,IL,USA,National,"Organix Recycling was established in 2009 for the explicit purpose of diverting food recyclables from landfills to more environmentally sustainable options. Since then, we have become the largest collector of supermarket food recyclables in the United States, servicing more than 34 states and Puerto Rico. Provide collection services for food waste to a range of diversion options (animal feed, AD, composting).",For-Profit,Recycling,Composting; Renewable Energy from Organics (Anaerobic Digestion); Animal Feed,Recycling Coordinator,Centralized Composting; Centralized Anaerobic Digestion ,2009,http://www.organixrecycling.com/,,,,info@organixrecycling.com
OzHarvest,Sydney,,Australia,National,"OzHarvest is the first perishable food rescue organisation in Australia that collects quality excess food from more than 2,000 commercial outlets and delivers it, direct and free of charge, to more than 800 charities. OzHarvest was instrumental in getting the ""Civil Liberties Amendment Act"" passed, which protects donors from liability.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2004,http://www.ozharvest.org/,https://www.facebook.com/ozharvest/,https://twitter.com/OzHarvest?lang=en,https://www.linkedin.com/company/ozharvest?trk=top_nav_home,info@ozharvest.org
Peels & Wheels,New Haven,CT,USA,Local,A Neighborhood Food Waste Pickup & Composting Program of New Haven Farms Inc.,Nonprofit,Recycling,Composting,Community Composting,Community Composting,2012,http://www.newhavenfarms.org/compost,https://www.facebook.com/NHFarms/,https://twitter.com/newhavenfarms,,info@newhavenfarms.org
Perfectly Imperfect Produce - Forest City Weingart Produce Co.,Cleveland,OH,USA,Local,"We are a produce wholesaler located in Cleveland, Ohio. 30% of food grown in the United States is never eaten. Some, only because it doesn't look... ""Perfect."" So we're Boxing Up Perfectly Imperfect Produce and Opening our wholesale warehouse to the public. Offering a subscription service in Cleveland and surrounding counties. ",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,1900,http://www.perfectlyimperfectproduce.com/,https://www.facebook.com/perfectlyimperfectproduce/,https://twitter.com/perfectlytasty,,perfectlyimperfectproduce@gmail.com
Persea Naturals,State College,PA,USA,National,"Persea Naturals LLC is dedicated to the discovery and commercialization of food additives of natural origin, including AvoColor - a novel food color in the yellow to red spectrum that is derived from avocado pits. ",For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,2016,http://avocolor.com/,,,,bob@perseanaturals.com
Philabundance,Philadelphia,PA,USA,Local,"Philabundance seeks to drive hunger from our communities today and end hunger forever. We serve approximately 90,000 people per week, a third of whom are children and 15% of whom are seniors. Recently, Philabundance partnered with the Drexel Food Lab to produce ""Rescued Relish"" from surplus produce. ",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,1984,https://www.philabundance.org/,https://www.facebook.com/Philabundance/,https://twitter.com/Philabundance?lang=en,https://www.linkedin.com/company/philabundance?trk=top_nav_home,contactus@philabundance.org
Phood LLC,West Hartford,CT,USA,National,"Phood's software makes it easy for foodservice professionals to manage the food that is wasted in their kitchens. With the data collected, our software provides actionable insights on how, where, and when waste can be reduced. This leads to decreases in the purchasing and labor costs and the overall environmental impact of food production.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,2014,http://getphood.com/index.html,,https://twitter.com/PhoodSolutions?lang=en,,info@phoodsolutions.com 
Plan Zheroes,London,,United Kingdom,Local,"Plan Zheroes tackles the parallel problems of food waste and food poverty. We enable and empower local communities to create networks of businesses, charities and volunteers for the distribution of surplus food to people in need via a free online platform - planzheroes.org. ",Nonprofit,Recovery,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,Donation Matching Software; Donation Transportation,2009,https://planzheroes.org/#!/,https://www.facebook.com/planzheroes/,https://twitter.com/planzheroes,https://www.linkedin.com/company/plan-zheroes?trk=top_nav_home,info@planzheroes.org
"Positive Effects, LLC",Plymouth,MA,USA,Local,"Positive Effects, LLC is a recycling company that focuses on food scraps collection and composting. We offer free services to schools, as well as municipality services (curbside/drop-off), which we charge for based on volume. In addition, produce grown with our compost is donated to pantries or directly to communities. ",For-Profit,Recycling,Composting,Centralized Composting; Community Composting,Centralized Composting; Community Composting,2011,http://www.positiveeffectsllc.com/,,,,positiveeffectsllc@gmail.com
Power Knot,San Jose,CA,USA,National,"Power Knot provides safe and economically sound solutions for commercial, industrial, and military customers globally seeking to reduce their carbon footprint. The LFC (Liquid Food Composter) allows customers to reduce the expense, inconvenience, and mess of disposing of waste food that would otherwise be hauled to a landfill.",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2009,http://www.powerknot.com/products.html,https://www.facebook.com/PowerKnot,https://twitter.com/PowerKnotLLC,https://www.linkedin.com/company/power-knot,info@powerknot.com
Prep & Pantry,,,,National,"Prep & Pantry is your tracking solution for food storage and preparedness supplies! Track stored item locations, quantities, and expiration dates. The cost of the app is more than repaid by the decrease in food waste.",For-Profit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,2010,http://prepandpantry.com/about,,,,support@prepandpantry.com
Produce Matchmaker - Feeding America,Chicago,IL,USA,National,"This new supply and demand matching platform connects food banks with produce donors. And once fully built out, will enable food banks to plan their long-term produce demand and to collaborate with other members with similar needs.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2015,http://www.feedingamerica.org/hunger-in-america/news-and-updates/hunger-blog/new-produce-matchmaker.html,,,,
ProduceGood,San Diego,CA,USA,Local,"By harvesting the extra bounty of San Diego county and delivering to those in need, we are solving the problem of hunger and waste in one sweet step.",Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Transportation; Consumer Food Recovery; Value-Added Processing,Donation Transportation; Value-Added Processing,2009,http://www.cropswapsandiego.com/producegood/,https://www.facebook.com/producegood/,https://twitter.com/ProduceGood,,info@producegood.org
Pulp Pantry,Los Angeles,CA,USA,Local,"Pulp Pantry™ snacks are made from veggie, fruit and nut fiber - sourced fresh from the best organic juiceries. ",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2015,http://www.pulppantry.com/,https://www.facebook.com/pulppantry,https://twitter.com/pulppantry,https://www.linkedin.com/company/pulp-pantry?trk=top_nav_home,KAITLIN@PULPPANTRY.COM
Qmilk ,Hanover,,Germany,National,Natural clothing line that uses 100% natural ingredients combined with casein (raw milk protein that can't be consumed) to create fibers for clothing. ,For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,2011,http://de.qmilk.eu/presite/index_en.html,,https://twitter.com/Qmilk_info?lang=en,,info@qmilk.eu
Quasar Energy Group,Cleveland,OH,USA,National,"quasar energy group (quasar) is a Cleveland, Ohio-based waste management and renewable energy company.  quasar’s anaerobic digestion systems have the capacity to annually manage more than 700,000 tons of organic residuals – materials which would have traditionally been sent to landfills or incinerators.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2006,http://www.quasarenergygroup.com/,https://www.facebook.com/quasareg/,https://twitter.com/quasar_eg,https://www.linkedin.com/company/quasar-energy-group?trk=top_nav_home,info@quasareg.com
Quantum Biopower,Southington,CT,USA,National,"Quantum’s mission is to develop sustainable ways, through technology application, that beneficially reuses the waste material we create, for the benefit of people.  As integrator's of advanced waste & recycling to energy systems, Quantum is meeting todays challenge of creating renewable energy while improving our waste management infrastructure. ",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anerobic Digestion,Centralized Anerobic Digestion,2013,http://www.quantumbiopower.com/,,,https://www.linkedin.com/company/quantum-biopower?trk=top_nav_home,
